,LG,svm,tree,RF,LGB
accuracy_score,0.9666666666666667,0.9591666666666666,0.9566666666666667,0.95,0.955
precision_score,0.9672155932361083,0.9607734736024209,0.9566546359336121,0.9497979797979798,0.9552851627009049
recall_score,0.9666666666666667,0.9591666666666666,0.9566666666666667,0.95,0.955
f1_score,0.9663191994598327,0.9584838343318771,0.9563515151515153,0.9498234916559692,0.954530919270774
