,LG,svm,tree,RF,LGB
accuracy_score,0.9525,0.9575,0.7008333333333333,0.9641666666666666,0.9666666666666667
precision_score,0.9523172497532596,0.9586489454589758,0.7430203898299966,0.9657437468303992,0.9678343473659282
recall_score,0.9525,0.9575,0.7008333333333333,0.9641666666666666,0.9666666666666667
f1_score,0.9522800584682947,0.956862833893015,0.6043801291686548,0.9635986147949488,0.9662093720321915
