,LG,svm,tree,RF,GBDT,LGB
accuracy_score,0.9533333333333334,0.9508333333333333,0.6991666666666667,0.9641666666666666,0.9616666666666667,0.9683333333333334
precision_score,0.9531546455474474,0.953558429118774,0.7208657727797001,0.9657437468303992,0.9626822256416127,0.9692086328128049
recall_score,0.9533333333333334,0.9508333333333333,0.6991666666666667,0.9641666666666666,0.9616666666666667,0.9683333333333334
f1_score,0.9531344639450142,0.949744731035532,0.6056280815413234,0.9635986147949488,0.9611407778370202,0.9679516467246502
