,LG,svm,tree,RF,LGB
accuracy_score,0.6791666666666667,0.6791666666666667,0.9683333333333334,0.9641666666666666,0.9675
precision_score,0.46126736111111116,0.46126736111111116,0.9695517212740334,0.9655391098446391,0.9681341192289259
recall_score,0.6791666666666667,0.6791666666666667,0.9683333333333334,0.9641666666666666,0.9675
f1_score,0.5494003308519437,0.5494003308519437,0.9678989034305819,0.9636294481843066,0.9671480917483583
